This file is created using RaceChrono v8.0.8 ( http://racechrono.com/ ).
Format,3
Session title,"Circuito de Corvera"
Session type,Lap timing
Track name,"Circuito de Corvera"
Driver name,
Created,29/08/2024,16:48
Note,

timestamp,fragment_id,lap_number,elapsed_time,distance_traveled,accuracy,altitude,bearing,device_update_rate,fix_type,latitude,longitude,satellites,speed,device_update_rate,lateral_acc,longitudinal_acc,speed
unix time,,,s,m,m,m,deg,Hz,,deg,deg,sats,m/s,Hz,G,G,m/s
,,,,,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,calc,calc,calc,calc
1724950689.05,0,8,599.05,7988.1501,3.216,220.92345,200.7,1.0,1.0,37.8146271,-1.0929072,12.05,10.1925,20.0,0.24187,0.01532,10.1925
1724950689.1,0,8,599.1,7989.2162,3.216,220.9509,200.7,1.0,1.0,37.8146215,-1.0928975,12.1,10.435,20.0,0.29207,0.03317,10.435
1724950689.15,0,8,599.15,7990.2823,3.216,220.97835,200.7,1.0,1.0,37.8146158,-1.0928877,12.15,10.6775,20.0,0.34918,0.05308,10.6775
1724950689.2,0,8,599.2,7991.3484,3.216,221.0058,200.7,1.0,1.0,37.8146101,-1.0928779,12.2,10.92,20.0,0.41235,0.0748,10.92
1724950689.25,0,8,599.25,7992.4145,3.216,221.03325,200.7,1.0,1.0,37.8146044,-1.0928682,12.25,11.1625,20.0,0.48053,0.09802,11.1625
1724950689.3,0,8,599.3,7993.4806,3.216,221.0607,200.7,1.0,1.0,37.8145987,-1.0928584,12.3,11.405,20.0,0.55265,0.12242,11.405
1724950689.35,0,8,599.35,7994.5467,3.216,221.08815,200.7,1.0,1.0,37.814593,-1.0928486,12.35,11.6475,20.0,0.62771,0.14769,11.6475
1724950689.4,0,8,599.4,7995.6128,3.216,221.1156,200.7,1.0,1.0,37.8145873,-1.0928389,12.4,11.89,20.0,0.70484,0.17359,11.89
1724950689.45,0,8,599.45,7996.6789,3.216,221.14305,200.7,1.0,1.0,37.8145816,-1.0928291,12.45,12.1325,20.0,0.78336,0.1999,12.1325
1724950689.5,0,8,599.5,7997.745,3.216,221.1705,200.7,1.0,1.0,37.8145759,-1.0928193,12.5,12.375,20.0,0.86206,0.22632,12.375
1724950689.55,0,8,599.55,7998.8111,3.216,221.19795,200.7,1.0,1.0,37.8145702,-1.0928096,12.55,12.6175,20.0,0.94007,0.25265,12.6175
1724950689.6,0,8,599.6,7999.8772,3.216,221.2254,200.7,1.0,1.0,37.8145645,-1.0927998,12.6,12.86,20.0,1.01634,0.27865,12.86
